ID,Fuel_Type,Monthly_Distance_Km,Body_Type,Sex,Diet,Social_Activity,Transport,Vehicle_Type,Air_Travel,Waste_Bag_Size,Waste_Bag_Weekly_Count,Energy_Efficiency,TV_PC_Usage,New_Clothes_Monthly,Transport_Emissions,Energy_Emissions,Diet_Emissions,Waste_Emissions,Total_Emissions
1873,Electric,2728,Overweight,Male,Omnivore,Often,Walk/Bicycle,None,Frequently,Medium,2,Yes,0,11,327.36,0,225,0.8,553.16
1874,Diesel,2382,Normal,Female,Vegetarian,No,Public,Petrol,Never,Small,2,No,8,5,425.584,168,108,0.8,702.384
1875,Diesel,1422,Obese,Male,Omnivore,No,Public,Electric,Never,Medium,0,No,17,6,254.064,357,225,0,836.064
1876,CNG,2675,Overweight,Female,Pescatarian,Never,Walk/Bicycle,Diesel,Frequently,Extra Large,1,No,16,22,361.125,336,162,0.4,859.525
1877,Petrol,1949,Obese,Female,Vegetarian,Never,Walk/Bicycle,CNG,Never,Large,2,No,16,7,375.1825,336,108,0.8,819.9825
1878,Diesel,2082,Underweight,Female,Vegetarian,Never,Private,Petrol,Very Frequently,Small,0,Yes,7,5,371.984,147,108,0,626.984
1879,CNG,1064,Underweight,Female,Vegan,No,Private,CNG,Frequently,Small,7,No,2,6,143.64,42,63,2.8,251.44
1880,Petrol,970,Overweight,Male,Vegan,No,Walk/Bicycle,None,Very Frequently,Medium,5,No,21,29,186.725,441,63,2,692.725
1881,Diesel,1487,Obese,Female,Vegetarian,Never,Walk/Bicycle,Electric,Rarely,Small,8,No,21,8,265.6773333,441,108,3.2,817.8773333
1882,Diesel,2434,Underweight,Female,Omnivore,No,Private,None,Rarely,Medium,0,Yes,10,15,434.8746667,210,225,0,869.8746667
1883,Petrol,723,Normal,Male,Omnivore,Never,Public,CNG,Rarely,Large,3,No,1,21,139.1775,21,225,1.2,386.3775
1884,Petrol,2701,Obese,Female,Omnivore,Often,Public,Petrol,Very Frequently,Extra Large,3,No,1,29,519.9425,21,225,1.2,767.1425
1885,Petrol,850,Obese,Male,Omnivore,Never,Public,CNG,Never,Extra Large,4,Yes,15,12,163.625,315,225,1.6,705.225
1886,Diesel,2428,Underweight,Female,Vegan,No,Private,Petrol,Rarely,Large,1,No,16,14,433.8026667,336,63,0.4,833.2026667
1887,Diesel,848,Underweight,Female,Pescatarian,No,Walk/Bicycle,CNG,Frequently,Medium,0,No,8,17,151.5093333,168,162,0,481.5093333
1888,CNG,681,Overweight,Female,Vegetarian,No,Public,None,Frequently,Medium,8,No,0,3,91.935,0,108,3.2,203.135
1889,Electric,1136,Obese,Female,Omnivore,No,Walk/Bicycle,CNG,Never,Large,4,Yes,21,4,136.32,441,225,1.6,803.92
1890,Petrol,1517,Normal,Male,Vegan,Never,Private,Diesel,Frequently,Small,7,No,11,7,292.0225,231,63,2.8,588.8225
1891,Diesel,2726,Underweight,Male,Pescatarian,Never,Private,None,Very Frequently,Small,2,Yes,5,3,487.0453333,105,162,0.8,754.8453333
1892,Diesel,1271,Obese,Male,Vegetarian,Often,Walk/Bicycle,CNG,Rarely,Small,3,Yes,10,16,227.0853333,210,108,1.2,546.2853333
1893,Petrol,1515,Underweight,Female,Vegetarian,Never,Walk/Bicycle,CNG,Very Frequently,Large,3,No,5,16,291.6375,105,108,1.2,505.8375
1894,Electric,2611,Overweight,Female,Vegetarian,Often,Walk/Bicycle,Electric,Frequently,Extra Large,5,Yes,19,1,313.32,399,108,2,822.32
1895,Petrol,528,Obese,Female,Omnivore,Never,Walk/Bicycle,None,Very Frequently,Extra Large,3,No,4,23,101.64,84,225,1.2,411.84
1896,Electric,2919,Obese,Male,Vegetarian,Never,Public,Electric,Never,Extra Large,4,Yes,12,15,350.28,252,108,1.6,711.88
1897,Diesel,2644,Overweight,Female,Omnivore,No,Walk/Bicycle,None,Very Frequently,Medium,4,No,0,18,472.3946667,0,225,1.6,698.9946667
1898,Electric,2393,Normal,Male,Pescatarian,Often,Public,Petrol,Frequently,Large,7,No,15,21,287.16,315,162,2.8,766.96
1899,CNG,1965,Underweight,Male,Vegan,No,Private,None,Frequently,Small,8,Yes,18,6,265.275,378,63,3.2,709.475
1900,Diesel,1726,Overweight,Male,Vegan,No,Public,None,Rarely,Extra Large,7,No,10,10,308.3786667,210,63,2.8,584.1786667
1901,CNG,2568,Obese,Female,Vegan,Never,Walk/Bicycle,CNG,Very Frequently,Extra Large,4,Yes,21,0,346.68,441,63,1.6,852.28
1902,Petrol,1625,Overweight,Female,Vegetarian,Never,Public,Diesel,Never,Extra Large,5,Yes,1,20,312.8125,21,108,2,443.8125
1903,Petrol,565,Obese,Female,Vegan,Often,Private,None,Rarely,Medium,3,No,0,17,108.7625,0,63,1.2,172.9625
1904,Petrol,1634,Overweight,Female,Pescatarian,Often,Walk/Bicycle,Electric,Frequently,Medium,1,Yes,12,6,314.545,252,162,0.4,728.945
1905,Electric,837,Normal,Male,Omnivore,Never,Private,Diesel,Very Frequently,Small,4,No,16,27,100.44,336,225,1.6,663.04
1906,Diesel,2670,Obese,Male,Vegan,Often,Private,None,Never,Extra Large,0,Yes,13,27,477.04,273,63,0,813.04
1907,Petrol,2228,Overweight,Female,Omnivore,Never,Walk/Bicycle,Diesel,Frequently,Extra Large,0,Yes,16,12,428.89,336,225,0,989.89
1908,Petrol,946,Normal,Female,Omnivore,Never,Public,Petrol,Frequently,Extra Large,0,No,9,2,182.105,189,225,0,596.105
1909,Diesel,780,Normal,Female,Vegan,Never,Private,Diesel,Rarely,Medium,3,No,16,8,139.36,336,63,1.2,539.56
1910,Petrol,1095,Underweight,Male,Vegan,Often,Walk/Bicycle,Petrol,Frequently,Small,4,No,12,16,210.7875,252,63,1.6,527.3875
1911,CNG,2486,Obese,Female,Vegan,No,Private,Diesel,Never,Large,3,No,5,1,335.61,105,63,1.2,504.81
1912,Diesel,1574,Underweight,Male,Vegetarian,Often,Public,Diesel,Never,Medium,5,No,3,14,281.2213333,63,108,2,454.2213333
1913,Diesel,709,Normal,Male,Vegan,No,Private,Electric,Rarely,Extra Large,1,No,3,8,126.6746667,63,63,0.4,253.0746667
1914,Diesel,625,Underweight,Male,Vegetarian,Often,Private,Electric,Rarely,Small,4,No,13,6,111.6666667,273,108,1.6,494.2666667
1915,CNG,991,Underweight,Male,Pescatarian,No,Private,CNG,Never,Small,5,Yes,3,18,133.785,63,162,2,360.785
1916,Diesel,1469,Overweight,Male,Omnivore,No,Private,Diesel,Rarely,Large,4,No,23,10,262.4613333,483,225,1.6,972.0613333
1917,CNG,1080,Underweight,Male,Pescatarian,Often,Public,Petrol,Frequently,Extra Large,5,No,22,23,145.8,462,162,2,771.8
1918,Diesel,2805,Normal,Male,Vegan,Often,Walk/Bicycle,Diesel,Never,Medium,7,No,4,20,501.16,84,63,2.8,650.96
1919,Electric,1711,Underweight,Female,Omnivore,No,Private,None,Rarely,Medium,1,Yes,13,17,205.32,273,225,0.4,703.72
1920,Petrol,729,Obese,Female,Vegan,Never,Public,Petrol,Never,Medium,6,Yes,14,25,140.3325,294,63,2.4,499.7325
1921,Electric,688,Overweight,Female,Vegan,No,Private,None,Frequently,Extra Large,5,No,22,16,82.56,462,63,2,609.56
1922,Petrol,2557,Normal,Male,Omnivore,No,Private,CNG,Rarely,Extra Large,9,Yes,7,21,492.2225,147,225,3.6,867.8225
1923,CNG,1001,Underweight,Male,Pescatarian,Never,Private,None,Never,Extra Large,7,No,23,3,135.135,483,162,2.8,782.935
1924,Electric,2632,Obese,Female,Vegan,No,Public,CNG,Frequently,Medium,8,No,10,1,315.84,210,63,3.2,592.04
1925,Diesel,548,Normal,Male,Omnivore,Never,Private,CNG,Rarely,Extra Large,7,No,6,16,97.90933333,126,225,2.8,451.7093333
1926,Petrol,1188,Underweight,Male,Pescatarian,Never,Private,CNG,Never,Extra Large,4,No,22,22,228.69,462,162,1.6,854.29
1927,Petrol,886,Overweight,Male,Vegetarian,Often,Walk/Bicycle,None,Frequently,Extra Large,3,No,12,19,170.555,252,108,1.2,531.755
1928,Electric,1469,Underweight,Male,Pescatarian,No,Public,CNG,Frequently,Large,2,No,13,0,176.28,273,162,0.8,612.08
1929,CNG,1505,Normal,Male,Pescatarian,No,Walk/Bicycle,CNG,Frequently,Large,9,No,8,12,203.175,168,162,3.6,536.775
1930,Electric,2765,Normal,Male,Omnivore,Never,Walk/Bicycle,Electric,Very Frequently,Extra Large,8,Yes,14,9,331.8,294,225,3.2,854
1931,CNG,2224,Normal,Male,Pescatarian,No,Walk/Bicycle,Diesel,Frequently,Extra Large,6,No,20,16,300.24,420,162,2.4,884.64
1932,CNG,2504,Obese,Male,Vegetarian,Never,Walk/Bicycle,CNG,Frequently,Medium,0,Yes,7,22,338.04,147,108,0,593.04
1933,Petrol,2802,Underweight,Male,Vegetarian,No,Private,Petrol,Rarely,Small,2,No,1,20,539.385,21,108,0.8,669.185
1934,Electric,2783,Underweight,Male,Vegan,No,Walk/Bicycle,Petrol,Very Frequently,Extra Large,2,Yes,11,16,333.96,231,63,0.8,628.76
1935,Electric,2107,Underweight,Male,Vegetarian,Never,Public,Electric,Frequently,Medium,5,No,15,10,252.84,315,108,2,677.84
1936,CNG,2289,Overweight,Male,Vegan,Never,Private,None,Rarely,Medium,1,No,7,8,309.015,147,63,0.4,519.415
1937,Electric,770,Obese,Female,Vegetarian,No,Walk/Bicycle,None,Rarely,Small,3,Yes,0,2,92.4,0,108,1.2,201.6
1938,Diesel,622,Obese,Male,Pescatarian,No,Walk/Bicycle,None,Never,Medium,1,No,16,9,111.1306667,336,162,0.4,609.5306667
1939,Diesel,1780,Overweight,Male,Vegan,Never,Public,CNG,Never,Small,4,No,23,16,318.0266667,483,63,1.6,865.6266667
1940,Electric,1944,Obese,Female,Vegetarian,Often,Public,None,Very Frequently,Extra Large,3,No,18,15,233.28,378,108,1.2,720.48
1941,Electric,758,Overweight,Female,Pescatarian,Often,Walk/Bicycle,None,Rarely,Large,3,Yes,19,15,90.96,399,162,1.2,653.16
1942,CNG,1447,Normal,Female,Pescatarian,No,Walk/Bicycle,Diesel,Frequently,Small,3,No,12,14,195.345,252,162,1.2,610.545
1943,Diesel,2594,Normal,Male,Vegan,No,Walk/Bicycle,CNG,Frequently,Extra Large,3,No,22,12,463.4613333,462,63,1.2,989.6613333
1944,Diesel,1362,Obese,Male,Omnivore,No,Walk/Bicycle,CNG,Rarely,Extra Large,4,Yes,14,1,243.344,294,225,1.6,763.944
1945,Petrol,1024,Normal,Female,Pescatarian,Never,Walk/Bicycle,Petrol,Very Frequently,Large,1,Yes,12,25,197.12,252,162,0.4,611.52
1946,CNG,1387,Normal,Female,Pescatarian,No,Public,Petrol,Frequently,Medium,5,No,2,5,187.245,42,162,2,393.245
1947,Petrol,707,Normal,Female,Omnivore,No,Public,Diesel,Very Frequently,Small,0,No,15,2,136.0975,315,225,0,676.0975
1948,Diesel,648,Underweight,Male,Vegan,No,Private,Electric,Rarely,Small,9,No,8,25,115.776,168,63,3.6,350.376
1949,CNG,937,Normal,Male,Vegetarian,Often,Private,CNG,Very Frequently,Medium,1,Yes,18,23,126.495,378,108,0.4,612.895
1950,Electric,2702,Underweight,Female,Vegetarian,No,Public,Petrol,Never,Large,2,Yes,7,0,324.24,147,108,0.8,580.04
1951,CNG,2221,Overweight,Male,Pescatarian,No,Private,None,Very Frequently,Small,1,No,7,16,299.835,147,162,0.4,609.235
1952,Electric,857,Overweight,Male,Omnivore,Never,Walk/Bicycle,CNG,Very Frequently,Small,2,No,13,23,102.84,273,225,0.8,601.64
1953,Electric,1740,Overweight,Female,Pescatarian,Often,Private,CNG,Frequently,Medium,7,No,18,26,208.8,378,162,2.8,751.6
1954,CNG,2430,Overweight,Female,Vegan,Never,Walk/Bicycle,CNG,Very Frequently,Extra Large,2,No,12,0,328.05,252,63,0.8,643.85
1955,Electric,955,Overweight,Female,Pescatarian,No,Walk/Bicycle,Petrol,Frequently,Large,9,No,2,29,114.6,42,162,3.6,322.2
1956,Petrol,2132,Normal,Male,Vegetarian,No,Private,Diesel,Frequently,Extra Large,0,No,4,10,410.41,84,108,0,602.41
1957,Diesel,1128,Normal,Male,Omnivore,No,Private,Petrol,Never,Extra Large,7,No,7,3,201.536,147,225,2.8,576.336
1958,Electric,985,Normal,Male,Vegan,No,Walk/Bicycle,None,Frequently,Medium,7,No,5,10,118.2,105,63,2.8,289
1959,Petrol,699,Overweight,Male,Pescatarian,No,Public,None,Rarely,Small,6,No,4,12,134.5575,84,162,2.4,382.9575
1960,Electric,870,Overweight,Male,Vegetarian,Never,Private,Electric,Frequently,Medium,3,Yes,20,28,104.4,420,108,1.2,633.6
1961,Diesel,1513,Underweight,Female,Pescatarian,No,Private,Petrol,Rarely,Extra Large,4,Yes,11,21,270.3226667,231,162,1.6,664.9226667
1962,Petrol,2482,Obese,Male,Vegetarian,No,Public,Petrol,Frequently,Medium,9,No,5,16,477.785,105,108,3.6,694.385
1963,Diesel,1971,Normal,Male,Omnivore,Often,Private,Electric,Rarely,Large,5,No,7,19,352.152,147,225,2,726.152
1964,Diesel,747,Obese,Female,Vegan,Often,Walk/Bicycle,Electric,Never,Extra Large,5,Yes,21,28,133.464,441,63,2,639.464
1965,Petrol,1287,Overweight,Female,Pescatarian,No,Public,CNG,Very Frequently,Extra Large,6,No,22,20,247.7475,462,162,2.4,874.1475
1966,Petrol,2811,Overweight,Female,Vegan,No,Public,CNG,Frequently,Large,3,No,6,12,541.1175,126,63,1.2,731.3175
1967,Petrol,2578,Overweight,Female,Omnivore,No,Walk/Bicycle,None,Never,Medium,7,No,13,16,496.265,273,225,2.8,997.065
1968,CNG,2021,Obese,Male,Vegetarian,No,Walk/Bicycle,Diesel,Never,Medium,1,No,8,1,272.835,168,108,0.4,549.235
1969,Petrol,1772,Underweight,Male,Omnivore,No,Walk/Bicycle,None,Frequently,Medium,8,No,16,1,341.11,336,225,3.2,905.31
1970,Petrol,1104,Overweight,Female,Omnivore,No,Public,Petrol,Frequently,Small,5,No,18,21,212.52,378,225,2,817.52
1971,Petrol,2189,Underweight,Male,Vegan,Never,Walk/Bicycle,Diesel,Rarely,Extra Large,0,Yes,5,17,421.3825,105,63,0,589.3825
1972,Petrol,1917,Underweight,Female,Omnivore,Never,Private,CNG,Frequently,Large,0,No,18,5,369.0225,378,225,0,972.0225
1973,Electric,2320,Normal,Male,Pescatarian,Never,Private,Electric,Frequently,Extra Large,7,No,17,24,278.4,357,162,2.8,800.2
1974,CNG,1001,Obese,Male,Vegetarian,Often,Walk/Bicycle,Electric,Rarely,Small,9,Yes,20,1,135.135,420,108,3.6,666.735
1975,Diesel,1048,Overweight,Male,Omnivore,No,Private,None,Rarely,Extra Large,9,Yes,0,22,187.2426667,0,225,3.6,415.8426667
1976,Petrol,1865,Underweight,Female,Pescatarian,Often,Private,Petrol,Frequently,Large,6,Yes,4,29,359.0125,84,162,2.4,607.4125
1977,Electric,1338,Obese,Female,Vegetarian,Often,Public,Petrol,Frequently,Large,2,No,12,10,160.56,252,108,0.8,521.36
1978,Electric,1930,Obese,Male,Vegan,Often,Walk/Bicycle,Electric,Frequently,Extra Large,7,No,10,16,231.6,210,63,2.8,507.4
1979,Electric,1948,Overweight,Male,Vegetarian,Never,Private,None,Very Frequently,Small,7,Yes,23,8,233.76,483,108,2.8,827.56
1980,Diesel,1347,Normal,Female,Vegan,No,Walk/Bicycle,None,Very Frequently,Extra Large,6,No,8,19,240.664,168,63,2.4,474.064
1981,Petrol,1113,Normal,Female,Vegetarian,No,Walk/Bicycle,CNG,Never,Small,4,No,9,4,214.2525,189,108,1.6,512.8525
1982,CNG,911,Underweight,Male,Omnivore,Often,Private,CNG,Never,Medium,7,No,21,19,122.985,441,225,2.8,791.785
1983,CNG,2979,Normal,Male,Vegan,Never,Private,CNG,Frequently,Large,4,No,19,14,402.165,399,63,1.6,865.765
1984,Electric,1177,Normal,Female,Vegan,Often,Public,Diesel,Rarely,Extra Large,0,No,18,25,141.24,378,63,0,582.24
1985,Diesel,658,Normal,Male,Vegan,Often,Public,None,Frequently,Large,7,No,23,24,117.5626667,483,63,2.8,666.3626667
1986,Diesel,2561,Obese,Female,Omnivore,No,Public,None,Frequently,Large,6,No,1,29,457.5653333,21,225,2.4,705.9653333
1987,Diesel,872,Overweight,Female,Omnivore,Never,Private,CNG,Never,Extra Large,6,Yes,7,16,155.7973333,147,225,2.4,530.1973333
1988,CNG,2772,Obese,Male,Vegetarian,No,Public,Electric,Frequently,Medium,1,No,22,9,374.22,462,108,0.4,944.62
1989,Electric,1596,Obese,Male,Vegetarian,Often,Walk/Bicycle,CNG,Frequently,Large,2,Yes,17,5,191.52,357,108,0.8,657.32
1990,Petrol,1102,Overweight,Male,Omnivore,No,Public,Diesel,Never,Large,2,Yes,17,12,212.135,357,225,0.8,794.935
1991,CNG,715,Obese,Female,Omnivore,Often,Public,Electric,Never,Small,9,No,1,27,96.525,21,225,3.6,346.125
1992,Electric,2496,Underweight,Female,Vegan,Never,Public,None,Rarely,Small,5,No,14,20,299.52,294,63,2,658.52
1993,Electric,2064,Underweight,Female,Vegetarian,No,Walk/Bicycle,Diesel,Rarely,Medium,5,Yes,16,15,247.68,336,108,2,693.68
1994,Petrol,2340,Obese,Male,Vegetarian,No,Walk/Bicycle,Diesel,Rarely,Extra Large,2,Yes,22,23,450.45,462,108,0.8,1021.25
1995,Petrol,2462,Normal,Male,Vegan,No,Private,Electric,Very Frequently,Large,4,No,23,1,473.935,483,63,1.6,1021.535
1996,Petrol,1226,Obese,Female,Vegan,No,Public,CNG,Very Frequently,Medium,8,No,22,27,236.005,462,63,3.2,764.205
1997,Diesel,1744,Normal,Female,Vegan,No,Walk/Bicycle,CNG,Frequently,Extra Large,6,No,14,19,311.5946667,294,63,2.4,670.9946667
1998,Petrol,1565,Obese,Male,Pescatarian,Never,Walk/Bicycle,Petrol,Rarely,Small,8,Yes,19,4,301.2625,399,162,3.2,865.4625
1999,Electric,1175,Underweight,Female,Pescatarian,Never,Walk/Bicycle,Electric,Never,Large,1,No,14,23,141,294,162,0.4,597.4
2000,Petrol,782,Normal,Male,Omnivore,No,Private,CNG,Rarely,Large,9,Yes,12,28,150.535,252,225,3.6,631.135
2001,Electric,1581,Underweight,Male,Vegetarian,Often,Private,Diesel,Frequently,Extra Large,9,No,17,16,189.72,357,108,3.6,658.32
2002,CNG,2408,Obese,Female,Vegan,Often,Private,CNG,Very Frequently,Medium,0,No,20,6,325.08,420,63,0,808.08
2003,Diesel,1652,Overweight,Female,Vegan,No,Public,CNG,Very Frequently,Large,1,No,14,23,295.1573333,294,63,0.4,652.5573333
2004,CNG,1447,Normal,Female,Vegetarian,No,Walk/Bicycle,Diesel,Frequently,Large,5,Yes,17,16,195.345,357,108,2,662.345
2005,CNG,1164,Normal,Female,Pescatarian,Never,Private,Electric,Rarely,Small,9,No,18,4,157.14,378,162,3.6,700.74
2006,Electric,2217,Obese,Female,Vegetarian,Never,Private,Petrol,Frequently,Medium,6,No,17,5,266.04,357,108,2.4,733.44
2007,CNG,1648,Obese,Male,Omnivore,No,Walk/Bicycle,CNG,Frequently,Small,7,No,23,9,222.48,483,225,2.8,933.28
2008,Electric,566,Normal,Female,Pescatarian,No,Walk/Bicycle,CNG,Very Frequently,Extra Large,5,No,14,4,67.92,294,162,2,525.92
2009,Petrol,2553,Overweight,Male,Vegetarian,Often,Public,CNG,Very Frequently,Extra Large,5,Yes,9,13,491.4525,189,108,2,790.4525
2010,Petrol,1136,Obese,Female,Vegetarian,Never,Public,Electric,Very Frequently,Medium,2,No,21,24,218.68,441,108,0.8,768.48
2011,Electric,813,Obese,Female,Omnivore,No,Public,Diesel,Frequently,Small,8,Yes,20,19,97.56,420,225,3.2,745.76
2012,Petrol,1064,Obese,Female,Vegetarian,Never,Private,Diesel,Rarely,Extra Large,1,Yes,20,13,204.82,420,108,0.4,733.22
2013,Diesel,2101,Overweight,Female,Pescatarian,No,Private,Diesel,Frequently,Medium,4,No,15,1,375.3786667,315,162,1.6,853.9786667
2014,CNG,1325,Normal,Female,Vegan,No,Walk/Bicycle,Diesel,Rarely,Extra Large,2,Yes,8,8,178.875,168,63,0.8,410.675
2015,Diesel,1605,Underweight,Female,Vegan,No,Public,Diesel,Rarely,Large,0,Yes,1,17,286.76,21,63,0,370.76
2016,CNG,1525,Obese,Male,Vegan,No,Walk/Bicycle,Diesel,Frequently,Large,1,No,12,17,205.875,252,63,0.4,521.275
2017,Petrol,2751,Overweight,Female,Pescatarian,Often,Public,CNG,Rarely,Medium,5,No,0,27,529.5675,0,162,2,693.5675
2018,Diesel,1161,Normal,Female,Vegetarian,No,Public,CNG,Rarely,Extra Large,9,No,21,21,207.432,441,108,3.6,760.032
2019,Petrol,1304,Normal,Female,Vegetarian,Often,Public,Diesel,Frequently,Medium,0,No,23,8,251.02,483,108,0,842.02
2020,CNG,2951,Overweight,Female,Vegetarian,Often,Public,Diesel,Very Frequently,Medium,1,Yes,7,4,398.385,147,108,0.4,653.785
2021,Electric,1035,Obese,Male,Vegetarian,No,Walk/Bicycle,Electric,Frequently,Medium,9,No,5,25,124.2,105,108,3.6,340.8
2022,Electric,1891,Underweight,Male,Vegan,Never,Walk/Bicycle,Electric,Very Frequently,Large,4,No,18,17,226.92,378,63,1.6,669.52
2023,Diesel,1735,Obese,Male,Pescatarian,Never,Private,None,Rarely,Medium,0,Yes,18,11,309.9866667,378,162,0,849.9866667
2024,Petrol,2420,Normal,Male,Omnivore,No,Public,CNG,Very Frequently,Large,9,No,1,5,465.85,21,225,3.6,715.45
2025,Petrol,2664,Underweight,Male,Pescatarian,No,Walk/Bicycle,Diesel,Very Frequently,Large,3,No,17,16,512.82,357,162,1.2,1033.02
2026,Diesel,1127,Obese,Male,Vegetarian,No,Public,CNG,Never,Extra Large,4,Yes,17,13,201.3573333,357,108,1.6,667.9573333
2027,Electric,1248,Underweight,Female,Vegetarian,Never,Public,None,Never,Medium,4,No,22,9,149.76,462,108,1.6,721.36
2028,CNG,604,Overweight,Female,Pescatarian,Never,Private,Electric,Very Frequently,Extra Large,4,No,14,25,81.54,294,162,1.6,539.14
2029,Diesel,545,Obese,Male,Pescatarian,No,Private,None,Never,Large,9,No,15,18,97.37333333,315,162,3.6,577.9733333
2030,CNG,1854,Normal,Female,Vegan,Never,Walk/Bicycle,Petrol,Very Frequently,Medium,8,No,12,2,250.29,252,63,3.2,568.49
2031,Electric,1739,Normal,Female,Vegetarian,Often,Walk/Bicycle,Electric,Never,Large,8,No,22,9,208.68,462,108,3.2,781.88
2032,Petrol,1481,Underweight,Female,Pescatarian,Never,Private,CNG,Rarely,Medium,4,No,23,13,285.0925,483,162,1.6,931.6925
2033,Electric,1459,Overweight,Female,Vegetarian,Never,Walk/Bicycle,Electric,Frequently,Medium,5,Yes,4,14,175.08,84,108,2,369.08
2034,Diesel,2015,Obese,Female,Pescatarian,No,Walk/Bicycle,None,Never,Small,7,No,17,15,360.0133333,357,162,2.8,881.8133333
2035,Petrol,2336,Overweight,Male,Vegetarian,Often,Private,Diesel,Frequently,Extra Large,6,No,23,5,449.68,483,108,2.4,1043.08
2036,Diesel,2996,Overweight,Male,Pescatarian,No,Public,None,Never,Small,5,Yes,4,13,535.2853333,84,162,2,783.2853333
2037,Diesel,1981,Underweight,Male,Vegetarian,Never,Public,None,Very Frequently,Medium,3,Yes,15,3,353.9386667,315,108,1.2,778.1386667
2038,Electric,2059,Underweight,Male,Omnivore,Often,Private,Diesel,Never,Small,2,No,5,12,247.08,105,225,0.8,577.88
2039,Diesel,2007,Obese,Male,Vegan,No,Public,CNG,Never,Large,3,No,6,26,358.584,126,63,1.2,548.784
2040,Electric,2563,Normal,Male,Omnivore,Never,Public,CNG,Frequently,Medium,2,No,0,26,307.56,0,225,0.8,533.36
2041,Petrol,2500,Obese,Female,Vegan,Often,Private,Electric,Frequently,Medium,7,Yes,7,7,481.25,147,63,2.8,694.05
2042,Electric,2790,Overweight,Male,Vegan,No,Walk/Bicycle,None,Never,Medium,5,No,6,22,334.8,126,63,2,525.8
2043,Petrol,2473,Underweight,Female,Pescatarian,Often,Private,Electric,Frequently,Small,5,No,22,8,476.0525,462,162,2,1102.0525
2044,Electric,1411,Overweight,Female,Omnivore,Never,Private,Diesel,Never,Extra Large,0,No,6,20,169.32,126,225,0,520.32
2045,CNG,1794,Underweight,Male,Vegan,No,Public,Petrol,Very Frequently,Extra Large,4,No,6,10,242.19,126,63,1.6,432.79
2046,CNG,2302,Normal,Male,Vegetarian,Never,Private,CNG,Very Frequently,Extra Large,7,Yes,0,4,310.77,0,108,2.8,421.57
2047,Diesel,2253,Overweight,Male,Pescatarian,Often,Public,Diesel,Rarely,Small,1,No,11,4,402.536,231,162,0.4,795.936
2048,Electric,614,Underweight,Female,Pescatarian,Never,Private,CNG,Frequently,Large,2,No,22,24,73.68,462,162,0.8,698.48
2049,Electric,2103,Obese,Male,Vegetarian,Often,Walk/Bicycle,Electric,Never,Small,8,No,22,17,252.36,462,108,3.2,825.56
2050,Petrol,1822,Obese,Male,Vegetarian,No,Public,Petrol,Very Frequently,Extra Large,3,Yes,10,15,350.735,210,108,1.2,669.935
2051,Diesel,2360,Obese,Male,Vegan,Never,Private,None,Rarely,Small,9,No,15,22,421.6533333,315,63,3.6,803.2533333
2052,Electric,2944,Overweight,Female,Vegetarian,No,Public,CNG,Rarely,Large,4,Yes,0,25,353.28,0,108,1.6,462.88
2053,Diesel,2941,Underweight,Male,Pescatarian,No,Private,None,Never,Medium,6,No,5,18,525.4586667,105,162,2.4,794.8586667
2054,CNG,1598,Underweight,Male,Vegetarian,No,Private,Electric,Rarely,Medium,4,Yes,23,23,215.73,483,108,1.6,808.33
2055,Electric,1477,Underweight,Female,Omnivore,No,Private,CNG,Rarely,Extra Large,1,Yes,4,8,177.24,84,225,0.4,486.64
2056,Electric,2005,Overweight,Female,Pescatarian,Never,Public,Electric,Never,Extra Large,6,No,11,10,240.6,231,162,2.4,636
2057,Diesel,1626,Underweight,Female,Vegetarian,Never,Public,None,Rarely,Large,5,No,16,10,290.512,336,108,2,736.512
2058,Electric,796,Normal,Male,Pescatarian,No,Walk/Bicycle,Electric,Rarely,Small,8,Yes,12,13,95.52,252,162,3.2,512.72
2059,Diesel,2725,Overweight,Male,Vegan,No,Walk/Bicycle,Electric,Never,Large,1,Yes,4,9,486.8666667,84,63,0.4,634.2666667
2060,Electric,2862,Normal,Female,Omnivore,Often,Walk/Bicycle,Electric,Never,Large,1,Yes,14,8,343.44,294,225,0.4,862.84
2061,Petrol,1562,Normal,Male,Vegan,No,Walk/Bicycle,Diesel,Very Frequently,Medium,7,Yes,1,4,300.685,21,63,2.8,387.485
2062,Diesel,758,Obese,Female,Omnivore,Often,Private,Diesel,Rarely,Small,9,No,1,25,135.4293333,21,225,3.6,385.0293333
2063,Electric,2554,Overweight,Female,Vegetarian,Often,Public,CNG,Very Frequently,Medium,0,No,19,26,306.48,399,108,0,813.48
2064,CNG,2596,Underweight,Female,Pescatarian,No,Private,Electric,Very Frequently,Medium,7,No,15,10,350.46,315,162,2.8,830.26
2065,Electric,2708,Normal,Female,Vegetarian,Never,Public,Electric,Frequently,Large,4,No,11,27,324.96,231,108,1.6,665.56
2066,CNG,2392,Overweight,Female,Vegan,Often,Public,Electric,Never,Medium,0,No,3,8,322.92,63,63,0,448.92
2067,CNG,675,Underweight,Male,Pescatarian,Never,Private,Diesel,Frequently,Extra Large,9,Yes,22,12,91.125,462,162,3.6,718.725
2068,Petrol,1500,Obese,Male,Vegetarian,No,Private,None,Never,Extra Large,0,Yes,8,28,288.75,168,108,0,564.75
2069,Diesel,2418,Overweight,Male,Vegetarian,No,Public,Electric,Frequently,Medium,5,No,11,18,432.016,231,108,2,773.016
